,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
1588,Volkan Sen,Right Winger,24,Bursaspor,Süper Lig,Trabzonspor,Süper Lig,2011-2012,4700000.0,3600000
1589,Marvin Sordell,Centre-Forward,20,Watford,Championship,Bolton,Premier League,2011-2012,1000000.0,3600000
1590,Kléber,Centre-Forward,21,Atlético-MG,Série A,FC Porto,Liga NOS,2011-2012,1300000.0,3560000
1591,José Antonio Reyes,Right Winger,28,Atlético Madrid,LaLiga,Sevilla FC,LaLiga,2011-2012,15000000.0,3500000
1592,Diego Capel,Left Winger,23,Sevilla FC,LaLiga,Sporting CP,Liga NOS,2011-2012,8000000.0,3500000
1593,Maxwell,Left-Back,30,FC Barcelona,LaLiga,Paris SG,Ligue 1,2011-2012,7000000.0,3500000
1594,Barreto,Second Striker,25,Bari,Serie B,Udinese Calcio,Serie A,2011-2012,7000000.0,3500000
1595,Emmanuel Eboué,Right-Back,28,Arsenal,Premier League,Galatasaray,Süper Lig,2011-2012,6000000.0,3500000
1596,Nicolas N'Koulou,Centre-Back,21,Monaco,Ligue 2,Marseille,Ligue 1,2011-2012,5000000.0,3500000
1597,Jonathan Pitroipa,Right Winger,25,Hamburger SV,1.Bundesliga,Stade Rennais,Ligue 1,2011-2012,4500000.0,3500000
1598,Thiago Silva,Centre-Back,27,AC Milan,Serie A,Paris SG,Ligue 1,2012-2013,38000000.0,42000000
1599,Hulk,Right Winger,26,FC Porto,Liga NOS,Zenit S-Pb,Premier Liga,2012-2013,37000000.0,40000000
1600,Lucas Moura,Right Winger,20,São Paulo,Série A,Paris SG,Ligue 1,2012-2013,35000000.0,40000000
1601,Javi Martínez,Defensive Midfield,24,Athletic Bilbao,LaLiga,Bayern Munich ,1.Bundesliga,2012-2013,30000000.0,40000000
1602,Axel Witsel,Central Midfield,23,Benfica,Liga NOS,Zenit S-Pb,Premier Liga,2012-2013,20000000.0,40000000
1603,Eden Hazard,Left Winger,21,LOSC Lille,Ligue 1,Chelsea,Premier League,2012-2013,33000000.0,35000000
1604,Willian,Right Winger,24,Shakhtar D.,Premier Liga,Anzhi,Premier Liga,2012-2013,25000000.0,35000000
1605,Oscar,Attacking Midfield,20,Internacional,Série A,Chelsea,Premier League,2012-2013,20000000.0,32000000
1606,Robin van Persie,Centre-Forward,29,Arsenal,Premier League,Man Utd,Premier League,2012-2013,47500000.0,30700000
1607,Luka Modric,Central Midfield,26,Spurs,Premier League,Real Madrid,LaLiga,2012-2013,40000000.0,30000000
1608,Ezequiel Lavezzi,Second Striker,27,SSC Napoli,Serie A,Paris SG,Ligue 1,2012-2013,30000000.0,28950000
1609,Zlatan Ibrahimovic,Centre-Forward,30,AC Milan,Serie A,Paris SG,Ligue 1,2012-2013,37000000.0,21000000
1610,Javi García,Defensive Midfield,25,Benfica,Liga NOS,Man City,Premier League,2012-2013,15000000.0,20200000
1611,Mario Balotelli,Centre-Forward,22,Man City,Premier League,AC Milan,Serie A,2012-2013,24000000.0,20000000
1612,Alex Song,Defensive Midfield,24,Arsenal,Premier League,FC Barcelona,LaLiga,2012-2013,25000000.0,19000000
1613,Santi Cazorla,Central Midfield,27,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,20000000.0,19000000
1614,Mousa Dembélé,Central Midfield,25,Fulham,Premier League,Spurs,Premier League,2012-2013,13000000.0,19000000
1615,Joe Allen,Central Midfield,22,Swansea,Premier League,Liverpool,Premier League,2012-2013,4000000.0,19000000
1616,Kwadwo Asamoah,Left-Back,23,Udinese Calcio,Serie A,Juventus,Serie A,2012-2013,15000000.0,18000000
1617,Lacina Traoré,Centre-Forward,22,Kuban Krasnodar,Premier Liga,Anzhi,Premier Liga,2012-2013,7000000.0,18000000
1618,Marco Reus,Left Winger,23,Bor. M'gladbach,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2012-2013,20000000.0,17100000
1619,Shinji Kagawa,Attacking Midfield,23,Bor. Dortmund,1.Bundesliga,Man Utd,Premier League,2012-2013,22000000.0,16000000
1620,Taison,Left Winger,25,Metalist,Premier Liga,Shakhtar D.,Premier Liga,2012-2013,12000000.0,15240000
1621,Gastón Ramírez,Attacking Midfield,21,Bologna,Serie A,Southampton,Premier League,2012-2013,13500000.0,15200000
1622,Steven Fletcher,Centre-Forward,25,Wolves,Championship,Sunderland,Premier League,2012-2013,6000000.0,15200000
1623,Matija Nastasic,Centre-Back,19,Fiorentina,Serie A,Man City,Premier League,2012-2013,5500000.0,15200000
1624,Alexandre Pato,Centre-Forward,23,AC Milan,Serie A,Corinthians,Série A,2012-2013,28500000.0,15000000
1625,Lukas Podolski,Centre-Forward,27,1. FC Köln,2.Bundesliga,Arsenal,Premier League,2012-2013,20000000.0,15000000
1626,Daniel Sturridge,Centre-Forward,23,Chelsea,Premier League,Liverpool,Premier League,2012-2013,16000000.0,15000000
1627,Christopher Samba,Centre-Back,28,Anzhi,Premier Liga,QPR,Premier League,2012-2013,15000000.0,15000000
1628,Jack Rodwell,Defensive Midfield,21,Everton,Premier League,Man City,Premier League,2012-2013,15000000.0,15000000
1629,Samir Handanovic,Goalkeeper,28,Udinese Calcio,Serie A,Inter,Serie A,2012-2013,15000000.0,15000000
1630,Jordi Alba,Left-Back,23,Valencia CF,LaLiga,FC Barcelona,LaLiga,2012-2013,10000000.0,14000000
1631,Carlos Vela,Right Winger,23,Arsenal,Premier League,Real Sociedad,LaLiga,2012-2013,8000000.0,14000000
1632,Mauricio Isla,Right-Back,24,Udinese Calcio,Serie A,Juventus,Serie A,2012-2013,14000000.0,13900000
1633,Fabio Borini,Left Winger,21,AS Roma,Serie A,Liverpool,Premier League,2012-2013,9000000.0,13300000
1634,Rafael van der Vaart,Attacking Midfield,29,Spurs,Premier League,Hamburger SV,1.Bundesliga,2012-2013,24500000.0,13000000
1635,Mario Mandzukic,Left Winger,26,VfL Wolfsburg,1.Bundesliga,Bayern Munich ,1.Bundesliga,2012-2013,14000000.0,13000000
1636,Lucas Ocampos,Left Winger,18,River Plate,Torneo Final,Monaco,Ligue 2,2012-2013,9000000.0,13000000
1637,Philippe Coutinho,Attacking Midfield,20,Inter,Serie A,Liverpool,Premier League,2012-2013,9000000.0,13000000
1638,Hugo Lloris,Goalkeeper,25,Olympique Lyon,Ligue 1,Spurs,Premier League,2012-2013,19000000.0,12600000
1639,Adam Johnson,Right Winger,25,Man City,Premier League,Sunderland,Premier League,2012-2013,10500000.0,12600000
1640,Jan Vertonghen,Centre-Back,25,AFC Ajax,Eredivisie,Spurs,Premier League,2012-2013,15000000.0,12500000
1641,Giampaolo Pazzini,Centre-Forward,28,Inter,Serie A,AC Milan,Serie A,2012-2013,14500000.0,12500000
1642,Yann M'Vila,Defensive Midfield,22,Stade Rennais,Ligue 1,Rubin Kazan,Premier Liga,2012-2013,15000000.0,12000000
1643,Olivier Giroud,Centre-Forward,25,Montpellier,Ligue 1,Arsenal,Premier League,2012-2013,13000000.0,12000000
1644,Luuk de Jong,Centre-Forward,21,FC Twente,Eredivisie,Bor. M'gladbach,1.Bundesliga,2012-2013,12000000.0,12000000
1645,Marco Verratti,Central Midfield,19,Pescara,Serie A,Paris SG,Ligue 1,2012-2013,10000000.0,12000000
1646,Ola John,Left Winger,20,FC Twente,Eredivisie,Benfica,Liga NOS,2012-2013,2500000.0,12000000
1647,Paulo Dybala,Second Striker,18,Instituto,Primera B Nacional,US Palermo,Serie A,2012-2013,2000000.0,11900000
1648,Xherdan Shaqiri,Right Winger,20,FC Basel,Super League,Bayern Munich ,1.Bundesliga,2012-2013,12500000.0,11800000
1649,Wilfried Zaha,Right Winger,20,Crystal Palace,Championship,Man Utd,Premier League,2012-2013,3500000.0,11750000
1650,Victor Moses,Right Midfield,21,Wigan,Premier League,Chelsea,Premier League,2012-2013,6500000.0,11500000
1651,Sebastian Giovinco,Second Striker,25,Parma,Serie A,Juventus,Serie A,2012-2013,12500000.0,11000000
1652,Fredy Guarín,Central Midfield,26,FC Porto,Liga NOS,Inter,Serie A,2012-2013,12000000.0,11000000
1653,Eduardo Salvio,Right Winger,22,Atlético Madrid,LaLiga,Benfica,Liga NOS,2012-2013,10000000.0,11000000
1654,Manolo Gabbiadini,Centre-Forward,20,Atalanta,Serie A,Juventus,Serie A,2012-2013,4500000.0,11000000
1655,Mateo Kovacic,Central Midfield,18,Dinamo Zagreb,1.HNL,Inter,Serie A,2012-2013,3000000.0,11000000
1656,Loïc Rémy,Centre-Forward,26,Marseille,Ligue 1,QPR,Premier League,2012-2013,15000000.0,10500000
1657,Rodrigo Palacio,Centre-Forward,30,Genoa,Serie A,Inter,Serie A,2012-2013,12000000.0,10500000
1658,Mário Fernandes,Right-Back,21,Grêmio,Série A,CSKA Moscow,Premier Liga,2012-2013,9000000.0,10500000
1659,Jordan Rhodes,Centre-Forward,22,Huddersfield,Championship,Blackburn,Championship,2012-2013,3500000.0,10100000
1660,Álvaro Pereira,Left-Back,26,FC Porto,Liga NOS,Inter,Serie A,2012-2013,16000000.0,10000000
1661,Raúl Meireles,Central Midfield,29,Chelsea,Premier League,Fenerbahce,Süper Lig,2012-2013,15000000.0,10000000
1662,Nilmar,Centre-Forward,28,Villarreal CF,LaLiga2,Al Rayyan,Stars League,2012-2013,15000000.0,10000000
1663,Giuseppe Rossi,Centre-Forward,25,Villarreal CF,LaLiga2,Fiorentina,Serie A,2012-2013,10000000.0,10000000
1664,Marvin Martin,Attacking Midfield,24,FC Sochaux,Ligue 1,LOSC Lille,Ligue 1,2012-2013,9500000.0,10000000
1665,Gylfi Sigurdsson,Attacking Midfield,22,TSG Hoffenheim,1.Bundesliga,Spurs,Premier League,2012-2013,8500000.0,10000000
1666,Nacho Monreal,Left-Back,26,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,6000000.0,10000000
1667,Matt Jarvis,Left Winger,26,Wolves,Championship,West Ham,Premier League,2012-2013,8000000.0,9500000
1668,Ganso,Attacking Midfield,22,Santos FC,Série A,São Paulo,Série A,2012-2013,18000000.0,9100000
1669,Raffael,Second Striker,27,Hertha BSC,2.Bundesliga,Dynamo Kyiv,Premier Liga,2012-2013,9000000.0,9000000
1670,José Salomón Rondón,Centre-Forward,22,Málaga CF,LaLiga,Rubin Kazan,Premier Liga,2012-2013,9000000.0,9000000
1671,Jackson Martínez,Centre-Forward,25,Chiapas FC,Liga MX Clausura,FC Porto,Liga NOS,2012-2013,5000000.0,8890000
1672,César Azpilicueta,Right-Back,23,Marseille,Ligue 1,Chelsea,Premier League,2012-2013,7500000.0,8800000
1673,Christian Benteke,Centre-Forward,21,KRC Genk,Jupiler Pro League,Aston Villa,Premier League,2012-2013,3000000.0,8800000
1674,Jay Rodríguez,Centre-Forward,22,Burnley,Championship,Southampton,Premier League,2012-2013,5000000.0,8650000
1675,Nordin Amrabat,Left Winger,25,Kayserispor,Süper Lig,Galatasaray,Süper Lig,2012-2013,6000000.0,8600000
1676,Demba Ba,Centre-Forward,27,Newcastle,Premier League,Chelsea,Premier League,2012-2013,15000000.0,8500000
1677,Lucas Barrios,Centre-Forward,27,Bor. Dortmund,1.Bundesliga,GZ Evergrande,Super League,2012-2013,10000000.0,8500000
1678,Granit Xhaka,Defensive Midfield,19,FC Basel,Super League,Bor. M'gladbach,1.Bundesliga,2012-2013,8500000.0,8500000
1679,Vurnon Anita,Defensive Midfield,23,AFC Ajax,Eredivisie,Newcastle,Premier League,2012-2013,6000000.0,8500000
1680,Diego Souza,Attacking Midfield,27,Vasco da Gama,Série A,Ittihad,Professional League,2012-2013,4500000.0,8200000
1681,Marko Marin,Left Winger,23,Werder Bremen,1.Bundesliga,Chelsea,Premier League,2012-2013,13000000.0,8000000
1682,Martín Cáceres,Right-Back,25,Sevilla FC,LaLiga,Juventus,Serie A,2012-2013,9500000.0,8000000
1683,Mapou Yanga-Mbiwa,Centre-Back,23,Montpellier,Ligue 1,Newcastle,Premier League,2012-2013,9000000.0,8000000
1684,Álvaro Domínguez,Centre-Back,23,Atlético Madrid,LaLiga,Bor. M'gladbach,1.Bundesliga,2012-2013,8000000.0,8000000
1685,Valon Behrami,Defensive Midfield,27,Fiorentina,Serie A,SSC Napoli,Serie A,2012-2013,8000000.0,8000000
1686,Esteban Granero,Central Midfield,25,Real Madrid,LaLiga,QPR,Premier League,2012-2013,7000000.0,8000000
1687,Ivan Perisic,Left Winger,23,Bor. Dortmund,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2012-2013,7000000.0,8000000
1688,Aleksandr Samedov,Right Winger,27,Dinamo Moscow,Premier Liga,Loko Moscow,Premier Liga,2012-2013,6500000.0,8000000
1689,Kévin Constant,Defensive Midfield,25,Genoa,Serie A,AC Milan,Serie A,2012-2013,6000000.0,8000000
1690,Marco Ruben,Centre-Forward,25,Villarreal CF,LaLiga2,Dynamo Kyiv,Premier Liga,2012-2013,6000000.0,8000000
1691,Davide Faraoni,Right Midfield,20,Inter,Serie A,Udinese Calcio,Serie A,2012-2013,4000000.0,8000000
1692,Rômulo,Defensive Midfield,21,Vasco da Gama,Série A,Spartak Moscow,Premier Liga,2012-2013,2500000.0,8000000
1693,Scott Sinclair,Left Midfield,23,Swansea,Premier League,Man City,Premier League,2012-2013,8000000.0,7800000
1694,Kevin Mirallas,Right Winger,24,Olympiacos,Super League,Everton,Premier League,2012-2013,8000000.0,7650000
1695,Wesley Sneijder,Attacking Midfield,28,Inter,Serie A,Galatasaray,Süper Lig,2012-2013,19000000.0,7500000
1696,Clint Dempsey,Second Striker,29,Fulham,Premier League,Spurs,Premier League,2012-2013,15000000.0,7500000
1697,Asamoah Gyan,Centre-Forward,26,Sunderland,Premier League,Al-Ain FC,UAE Gulf League,2012-2013,12000000.0,7500000
1698,Goran Pandev,Second Striker,28,Inter,Serie A,SSC Napoli,Serie A,2012-2013,11000000.0,7500000
1699,Miguel Veloso,Defensive Midfield,26,Genoa,Serie A,Dynamo Kyiv,Premier Liga,2012-2013,8000000.0,7500000
1700,Sergio Canales,Attacking Midfield,21,Real Madrid,LaLiga,Valencia CF,LaLiga,2012-2013,5000000.0,7500000
1701,Yura Movsisyan,Centre-Forward,25,Krasnodar,Premier Liga,Spartak Moscow,Premier Liga,2012-2013,3200000.0,7500000
1702,Nick Powell,Attacking Midfield,18,Crewe Alexandra,League One,Man Utd,Premier League,2012-2013,250000.0,7500000
1703,Borja Valero,Central Midfield,27,Villarreal CF,LaLiga2,Fiorentina,Serie A,2012-2013,12000000.0,7000000
1704,Milos Krasic,Central Midfield,27,Juventus,Serie A,Fenerbahce,Süper Lig,2012-2013,11000000.0,7000000
1705,Mattia Destro,Centre-Forward,21,Siena,Serie A,Genoa,Serie A,2012-2013,10000000.0,7000000
1706,Pablo Hernández,Right Winger,27,Valencia CF,LaLiga,Swansea,Premier League,2012-2013,9000000.0,7000000
1707,Bas Dost,Centre-Forward,23,Heerenveen,Eredivisie,VfL Wolfsburg,1.Bundesliga,2012-2013,8000000.0,7000000
1708,Niko Kranjcar,Attacking Midfield,27,Spurs,Premier League,Dynamo Kyiv,Premier Liga,2012-2013,7500000.0,7000000
1709,Philipp Wollscheid,Centre-Back,23,1.FC Nuremberg,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2012-2013,7500000.0,7000000
1710,Vedran Corluka,Centre-Back,26,Spurs,Premier League,Loko Moscow,Premier Liga,2012-2013,7500000.0,7000000
1711,Sung-yong Ki,Defensive Midfield,23,Celtic,Premiership,Swansea,Premier League,2012-2013,3500000.0,7000000
1712,Alessio Cerci,Right Winger,25,Fiorentina,Serie A,Torino,Serie A,2012-2013,6500000.0,6750000
1713,Renato Augusto,Central Midfield,24,Bay. Leverkusen,1.Bundesliga,Corinthians,Série A,2012-2013,7000000.0,6700000
1714,Luís Neto,Centre-Back,24,Siena,Serie A,Zenit S-Pb,Premier Liga,2012-2013,6000000.0,6500000
1715,Alberto Paloschi,Centre-Forward,23,AC Milan,Serie A,Chievo Verona,Serie A,2012-2013,5000000.0,6500000
1716,Emmanuel Adebayor,Centre-Forward,28,Man City,Premier League,Spurs,Premier League,2012-2013,25000000.0,6400000
1717,Mathieu Debuchy,Right-Back,27,LOSC Lille,Ligue 1,Newcastle,Premier League,2012-2013,15000000.0,6200000
1718,Charlie Adam,Central Midfield,26,Liverpool,Premier League,Stoke City,Premier League,2012-2013,8000000.0,6200000
1719,Gregory van der Wiel,Right-Back,24,AFC Ajax,Eredivisie,Paris SG,Ligue 1,2012-2013,9000000.0,6000000
1720,Stéphane Mbia,Defensive Midfield,26,Marseille,Ligue 1,QPR,Premier League,2012-2013,9000000.0,6000000
1721,Rasmus Elm,Defensive Midfield,24,AZ Alkmaar,Eredivisie,CSKA Moscow,Premier Liga,2012-2013,8000000.0,6000000
1722,Aly Cissokho,Left-Back,24,Olympique Lyon,Ligue 1,Valencia CF,LaLiga,2012-2013,7000000.0,6000000
1723,Vágner Love,Centre-Forward,28,Flamengo,Série A,CSKA Moscow,Premier Liga,2012-2013,6500000.0,6000000
1724,Iván Ramis,Centre-Back,27,RCD Mallorca,LaLiga,Wigan,Premier League,2012-2013,6000000.0,6000000
1725,Wálter Montillo,Attacking Midfield,28,Cruzeiro,Série A,Santos FC,Série A,2012-2013,5000000.0,6000000
1726,Modibo Maïga,Centre-Forward,24,FC Sochaux,Ligue 1,West Ham,Premier League,2012-2013,5000000.0,6000000
1727,Luc Castaignos,Centre-Forward,19,Inter,Serie A,FC Twente,Eredivisie,2012-2013,4500000.0,6000000
1728,Alex,Attacking Midfield,30,Corinthians,Série A,Al Gharafa,Stars League,2012-2013,3500000.0,6000000
1729,Joselu,Centre-Forward,22,RM Castilla,LaLiga2,TSG Hoffenheim,1.Bundesliga,2012-2013,6000000.0,6000000
1730,Danny Graham,Centre-Forward,27,Swansea,Premier League,Sunderland,Premier League,2012-2013,4000000.0,5800000
1731,André,Centre-Forward,21,Dynamo Kyiv,Premier Liga,Atlético-MG,Série A,2012-2013,2500000.0,5800000
1732,Steven Pienaar,Left Winger,30,Spurs,Premier League,Everton,Premier League,2012-2013,7000000.0,5750000
1733,Elkeson,Centre-Forward,23,Botafogo,Série A,GZ Evergrande,Super League,2012-2013,3000000.0,5700000
1734,Marquinhos,Centre-Back,18,Corinthians,Série A,AS Roma,Serie A,2012-2013,750000.0,5700000
1735,Julian Schieber,Centre-Forward,23,VfB Stuttgart,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2012-2013,8000000.0,5500000
1736,Eren Derdiyok,Centre-Forward,24,Bay. Leverkusen,1.Bundesliga,TSG Hoffenheim,1.Bundesliga,2012-2013,7500000.0,5500000
1737,Dusan Tadic,Attacking Midfield,23,FC Groningen,Eredivisie,FC Twente,Eredivisie,2012-2013,7500000.0,5500000
1738,Eljero Elia,Left Winger,25,Juventus,Serie A,Werder Bremen,1.Bundesliga,2012-2013,5000000.0,5500000
1739,Ángelo Henríquez,Centre-Forward,18,U. de Chile,Primera División,Man Utd,Premier League,2012-2013,150000.0,5500000
1740,Ewerton,Centre-Back,23,Coimbra-MG, Brazil,Anzhi,Premier Liga,2012-2013,5500000.0,5400000
1741,Wallace Oliveira,Right-Back,18,Fluminense,Série A,Chelsea,Premier League,2012-2013,2000000.0,5400000
1742,Ezequiel Schelotto,Right-Back,23,Atalanta,Serie A,Inter,Serie A,2012-2013,6500000.0,5300000
1743,Maicosuel,Left Winger,26,Botafogo,Série A,Udinese Calcio,Serie A,2012-2013,2500000.0,5300000
1744,Diego Tardelli,Centre-Forward,27,Al Gharafa,Stars League,Atlético-MG,Série A,2012-2013,2000000.0,5250000
1745,Marko Livaja,Centre-Forward,19,Inter,Serie A,Atalanta,Serie A,2012-2013,1800000.0,5050000
1746,Burak Yilmaz,Centre-Forward,27,Trabzonspor,Süper Lig,Galatasaray,Süper Lig,2012-2013,12000000.0,5000000
1747,Dimitar Berbatov,Centre-Forward,31,Man Utd,Premier League,Fulham,Premier League,2012-2013,11500000.0,5000000
1748,Antonio Cassano,Second Striker,30,AC Milan,Serie A,Inter,Serie A,2012-2013,10000000.0,5000000
1749,Bruno César,Left Midfield,24,Benfica,Liga NOS,Ahli,Professional League,2012-2013,9000000.0,5000000
1750,Lassana Diarra,Defensive Midfield,27,Real Madrid,LaLiga,Anzhi,Premier Liga,2012-2013,8000000.0,5000000
1751,Dedé,Centre-Back,24,Vasco da Gama,Série A,Cruzeiro,Série A,2012-2013,7500000.0,5000000
1752,Paulinho,Central Midfield,24,Coimbra-MG, Brazil,Corinthians,Série A,2012-2013,7500000.0,5000000
1753,Marko Devic,Centre-Forward,28,Metalist,Premier Liga,Shakhtar D.,Premier Liga,2012-2013,7000000.0,5000000
1754,Youssef El Arabi,Centre-Forward,25,Hilal,Professional League,Granada CF,LaLiga,2012-2013,6500000.0,5000000
1755,Germán Denis,Centre-Forward,30,Udinese Calcio,Serie A,Atalanta,Serie A,2012-2013,5500000.0,5000000
1756,Alain Traoré,Attacking Midfield,23,AJ Auxerre,Ligue 2,FC Lorient,Ligue 1,2012-2013,5000000.0,5000000
1757,Ben Foster,Goalkeeper,29,Birmingham,Championship,West Brom,Premier League,2012-2013,5000000.0,5000000
1758,Daniel Congré,Centre-Back,27,Toulouse,Ligue 1,Montpellier,Ligue 1,2012-2013,4500000.0,5000000
1759,Dame N'Doye,Centre-Forward,27,FC Copenhagen,Superligaen,Loko Moscow,Premier Liga,2012-2013,4500000.0,5000000
1760,Domagoj Vida,Centre-Back,23,Dinamo Zagreb,1.HNL,Dynamo Kyiv,Premier Liga,2012-2013,4000000.0,5000000
1761,Iván Marcano,Centre-Back,25,Villarreal CF,LaLiga2,Rubin Kazan,Premier Liga,2012-2013,3750000.0,5000000
1762,Alexander Büttner,Left-Back,23,Vitesse,Eredivisie,Man Utd,Premier League,2012-2013,3000000.0,5000000
1763,Leandro Castán,Centre-Back,25,Corinthians,Série A,AS Roma,Serie A,2012-2013,2500000.0,5000000
1764,Daniel Carvajal,Right-Back,20,RM Castilla,LaLiga2,Bay. Leverkusen,1.Bundesliga,2012-2013,6000000.0,5000000
1765,Naldo,Centre-Back,29,Werder Bremen,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2012-2013,6500000.0,4800000
1766,Dante,Centre-Back,28,Bor. M'gladbach,1.Bundesliga,Bayern Munich ,1.Bundesliga,2012-2013,8000000.0,4700000
1767,Alfred N'Diaye,Defensive Midfield,22,Bursaspor,Süper Lig,Sunderland,Premier League,2012-2013,3800000.0,4700000
1768,Junior Fernandes,Left Winger,24,U. de Chile,Primera División,Bay. Leverkusen,1.Bundesliga,2012-2013,800000.0,4700000
1769,Salvatore Bocchetti,Centre-Back,26,Rubin Kazan,Premier Liga,Spartak Moscow,Premier Liga,2012-2013,13000000.0,4500000
1770,Federico Balzaretti,Left-Back,30,US Palermo,Serie A,AS Roma,Serie A,2012-2013,8500000.0,4500000
1771,Jonathan Biabiany,Right Winger,24,Sampdoria,Serie A,Parma,Serie A,2012-2013,8000000.0,4500000
1772,Mehmet Topal,Defensive Midfield,26,Valencia CF,LaLiga,Fenerbahce,Süper Lig,2012-2013,8000000.0,4500000
1773,Giovanni Moreno,Attacking Midfield,26,Racing Club,Torneo Final,SH Shenhua,Super League,2012-2013,4500000.0,4500000
1774,Fernandinho,Left Winger,26,Desp. Brasil, Brazil,Al-Jazira,UAE Gulf League,2012-2013,1000000.0,4500000
1775,Bryan Oviedo,Left-Back,22,FC Copenhagen,Superligaen,Everton,Premier League,2012-2013,800000.0,4500000
1776,Steven Nzonzi,Defensive Midfield,23,Blackburn,Championship,Stoke City,Premier League,2012-2013,4500000.0,4400000
1777,Hanchao Yu,Left Winger,25,Liaoning FC,Super League,DL Yifang,Super League,2012-2013,250000.0,4300000
1778,Youssef Msakni,Left Winger,22,Esperance,Ligue I Pro,Al Duhail,Stars League,2012-2013,2750000.0,4250000
1779,Nenad Tomovic,Centre-Back,25,Genoa,Serie A,Fiorentina,Serie A,2012-2013,1300000.0,4200000
1780,Luciano Narsingh,Right Winger,21,Heerenveen,Eredivisie,PSV Eindhoven,Eredivisie,2012-2013,7000000.0,4100000
1781,Lima,Centre-Forward,29,Braga,Liga NOS,Benfica,Liga NOS,2012-2013,8000000.0,4000000
1782,Oussama Assaidi,Left Winger,24,Heerenveen,Eredivisie,Liverpool,Premier League,2012-2013,7000000.0,4000000
1783,Ciro Immobile,Centre-Forward,22,Juventus,Serie A,Genoa,Serie A,2012-2013,6500000.0,4000000
1784,Emmanuel Mayuka,Centre-Forward,21,BSC Young Boys,Super League,Southampton,Premier League,2012-2013,6000000.0,4000000
1785,Petr Jiracek,Central Midfield,26,VfL Wolfsburg,1.Bundesliga,Hamburger SV,1.Bundesliga,2012-2013,6000000.0,4000000
1786,Issiar Dia,Right Winger,25,Fenerbahce,Süper Lig,Al Duhail,Stars League,2012-2013,5000000.0,4000000
1787,Delvin N'Dinga,Defensive Midfield,24,AJ Auxerre,Ligue 2,Monaco,Ligue 2,2012-2013,5000000.0,4000000
1788,Niklas Moisander,Centre-Back,26,AZ Alkmaar,Eredivisie,AFC Ajax,Eredivisie,2012-2013,5000000.0,4000000
1789,Richmond Boakye,Centre-Forward,19,Genoa,Serie A,Juventus,Serie A,2012-2013,5000000.0,4000000
1790,Chinedu Obasi,Right Winger,26,TSG Hoffenheim,1.Bundesliga,FC Schalke 04,1.Bundesliga,2012-2013,4500000.0,4000000
1791,Benjamin Corgnet,Attacking Midfield,25,Dijon,Ligue 2,FC Lorient,Ligue 1,2012-2013,4500000.0,4000000
1792,Samba Diakité,Defensive Midfield,23,AS Nancy,Ligue 1,QPR,Premier League,2012-2013,4500000.0,4000000
1793,Emmanuel Rivière,Centre-Forward,22,Toulouse,Ligue 1,Monaco,Ligue 2,2012-2013,4500000.0,4000000
1794,Romain Hamouma,Right Winger,25,SM Caen,Ligue 2,Saint-Étienne,Ligue 1,2012-2013,4500000.0,4000000
1795,Francesco Acerbi,Centre-Back,24,Chievo Verona,Serie A,AC Milan,Serie A,2012-2013,4500000.0,4000000
1796,Milan Badelj,Defensive Midfield,23,Dinamo Zagreb,1.HNL,Hamburger SV,1.Bundesliga,2012-2013,4500000.0,4000000
1797,Vladislav Ignatjev,Right Midfield,25,Loko Moscow,Premier Liga,Krasnodar,Premier Liga,2012-2013,4000000.0,4000000
1798,Francesco Acerbi,Centre-Back,24,AC Milan,Serie A,Genoa,Serie A,2012-2013,4000000.0,4000000
1799,Willian,Centre-Forward,25,Coimbra-MG, Brazil,Metalist,Premier Liga,2012-2013,3000000.0,4000000
1800,David Abraham,Centre-Back,26,Getafe CF,LaLiga,TSG Hoffenheim,1.Bundesliga,2012-2013,3000000.0,4000000
1801,Geoffrey Kondogbia,Central Midfield,19,Lens,Ligue 2,Sevilla FC,LaLiga,2012-2013,3000000.0,4000000
1802,Dorlan Pabón,Second Striker,24,Atl. Nacional,Liga Águila II,Parma,Serie A,2012-2013,2800000.0,4000000
1803,Sadio Diallo,Attacking Midfield,21,SC Bastia,Ligue 1,Stade Rennais,Ligue 1,2012-2013,2500000.0,4000000
1804,Ibrahima Baldé,Centre-Forward,23,CA Osasuna,LaLiga,Kuban Krasnodar,Premier Liga,2012-2013,2500000.0,4000000
1805,Gabriel Silva,Left-Back,21,Granada CF,LaLiga,Udinese Calcio,Serie A,2012-2013,2500000.0,4000000
1806,Marcos Rojo,Centre-Back,22,Spartak Moscow,Premier Liga,Sporting CP,Liga NOS,2012-2013,2000000.0,4000000
1807,Valentín Viola,Left Winger,20,Racing Club,Torneo Final,Sporting CP,Liga NOS,2012-2013,1400000.0,4000000
1808,Ismaily,Left-Back,23,Braga,Liga NOS,Shakhtar D.,Premier Liga,2012-2013,1300000.0,4000000
